TimeStamp;StatusOn;Register_32768;Register_32769;Register_32770;Register_32771;Register_32772;Register_32773;Register_32774;Register_32775;Register_32776;Register_32777;Register_32778;Register_32779;Register_32780;Register_32781;Register_32782;Register_32783;Register_32784;Register_32785;Register_32786;Register_32787;Register_32788;Register_32789;Register_32790;Register_32791;Register_32792;Register_32793;Register_32794;Register_32795;Register_32796;Register_32797;Register_32798;Register_32799;Register_32800;Register_32801;Register_32802;Register_32803;Register_32804;Register_32805;Register_32806;Register_32807;Register_32808;Register_32809;Register_32810;Register_32811;Register_32812;Register_32813;Register_32814;Register_32815;Register_32816;Register_32817;Register_32818;Register_32819;Register_32820;Register_32821;Register_32822;Register_32823;Register_32824;Register_32825;Register_32826;Register_32827;Register_32828;Register_32829;Register_32830;Register_32831;Register_32832;Register_32833;Register_32834;Register_32835;Register_32836;Register_32837;Register_32838;Register_32839;Register_32840;Register_32841;Register_32842;Register_32843;Register_32844;Register_32845;Register_32846;Register_32847;Register_32848;Register_32849;Register_32850;Register_32851;Register_32852;Register_32853;Register_32854;Register_32855;Register_32856;Register_32857;Register_32858;Register_32859;Register_32860;Register_32861;Register_32862;Register_32863;Register_32864;Register_32865;Register_32866;Register_32867
2999-12-31 00:19:59,396;True;5120;17991;0;17348;81;0;57;9;6;19;2;16;2;255;27;1;16;16;4;0;16959;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20739;51220;70;18176;67;50176;20736;0;14592;2304;1536;4864;512;4096;512;65280;6912;256;4096;4096;1024;66;16128;3840;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;968;5120;17991;0;17348;81;0;57;9;6;19;2;16;2;255;27;1;16
2999-12-31 00:20:15,349;True;5120;17991;0;17348;81;0;13;10;6;19;2;16;2;255;27;1;16;16;4;0;16959;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20739;51220;70;18176;67;50176;20736;0;3328;2560;1536;4864;512;4096;512;65280;6912;256;4096;4096;1024;66;16128;3840;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;968;5120;17991;0;17348;81;0;13;10;6;19;2;16;2;255;27;1;16
2999-12-31 00:24:10,492;False;5120;17991;0;17348;81;0;8;14;6;19;2;16;2;255;27;1;16;16;4;0;16959;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20739;51220;70;18176;67;50176;20736;0;2048;3584;1536;4864;512;4096;512;65280;6912;256;4096;4096;1024;66;16128;3840;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;968;5120;17991;0;17348;81;0;8;14;6;19;2;16;2;255;27;1;16
2999-12-31 00:24:16,085;False;5120;17991;0;17348;81;0;13;14;6;19;2;16;2;255;27;1;16;16;4;0;16959;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20739;51220;70;18176;67;50176;20736;0;3328;3584;1536;4864;512;4096;512;65280;6912;256;4096;4096;1024;66;16128;3840;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;968;5120;17991;0;17348;81;0;13;14;6;19;2;16;2;255;27;1;16
2999-12-31 00:24:39,711;True;5120;17991;0;17348;81;0;37;14;6;19;2;16;2;255;27;1;16;16;4;0;16959;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20739;51220;70;18176;67;50176;20736;0;9472;3584;1536;4864;512;4096;512;65280;6912;256;4096;4096;1024;66;16128;3840;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;968;5120;17991;0;17348;81;0;37;14;6;19;2;16;2;255;27;1;16
2999-12-31 00:25:24,867;True;5120;17991;0;17348;81;0;22;15;6;19;2;16;2;255;27;1;16;16;4;0;16959;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20739;51220;70;18176;67;50176;20736;0;5632;3840;1536;4864;512;4096;512;65280;6912;256;4096;4096;1024;66;16128;3840;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;968;5120;17991;0;17348;81;0;22;15;6;19;2;16;2;255;27;1;16
2999-12-31 00:26:02,962;True;5120;17991;0;17348;81;0;0;16;6;19;2;16;2;255;27;1;16;16;4;0;16959;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20739;51220;70;18176;67;50176;20736;0;0;4096;1536;4864;512;4096;512;65280;6912;256;4096;4096;1024;66;16128;3840;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;968;5120;17991;0;17348;81;0;0;16;6;19;2;16;2;255;27;1;16
2999-12-31 00:26:40,587;True;5120;17991;0;17348;81;0;38;16;6;19;2;16;2;255;27;1;16;16;4;0;16959;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20739;51220;70;18176;67;50176;20736;0;9728;4096;1536;4864;512;4096;512;65280;6912;256;4096;4096;1024;66;16128;3840;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;968;5120;17991;0;17348;81;0;38;16;6;19;2;16;2;255;27;1;16
2999-12-31 00:27:25,478;True;5120;17991;32768;17348;81;0;23;17;6;19;2;16;2;255;27;1;16;16;4;0;16959;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20739;51220;70;18304;67;50176;20736;0;5888;4352;1536;4864;512;4096;512;65280;6912;256;4096;4096;1024;66;16128;3840;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;968;5120;17991;32768;17348;81;0;23;17;6;19;2;16;2;255;27;1;16
2999-12-31 00:28:06,151;True;5120;17991;32768;17348;81;0;3;18;6;19;2;16;2;255;27;1;16;16;4;0;16959;15;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20739;51220;70;18304;67;50176;20736;0;768;4608;1536;4864;512;4096;512;65280;6912;256;4096;4096;1024;66;16128;3840;512;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;968;5120;17991;32768;17348;81;0;3;18;6;19;2;16;2;255;27;1;16
